model,scenario,condition,episode_idx,seed,episode_return,episode_len,captured,reward_at_100,captured_at_100,reward_at_200,captured_at_200,reward_at_400,captured_at_400,terminal_action,hit_step_limit
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,0,1000000,269.99998812227716,400,31,299.99998812824435,31,289.9999881222817,31,269.99998812227716,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,1,1000001,249.99998887329778,400,29,279.99998888075334,29,269.9999888747907,29,249.99998887329778,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,2,1000002,299.9999869644572,400,34,319.9999873548743,33,319.99998696744194,34,299.9999869644572,34,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,3,1000003,289.99998735784845,400,33,299.99998813271543,31,309.9999873623233,33,289.99998735784845,33,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,4,1000004,229.99998963028236,400,27,259.99998964220265,27,249.99998963475159,27,229.99998963028236,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,5,1000005,239.9999892503025,400,28,189.99999233037258,20,259.9999892607333,28,239.9999892503025,28,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,6,1000006,229.9999896273019,400,27,259.9999896317716,27,249.99998962879087,27,229.9999896273019,27,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,7,1000007,279.9999877378273,400,32,299.99998812079394,31,299.9999877378319,32,279.9999877378273,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,8,1000008,199.99999078065346,400,24,219.99999117106222,23,219.99999078214245,24,199.99999078065346,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,9,1000009,269.99998811184696,400,31,279.99998888671394,29,289.9999881163218,31,269.99998811184696,31,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,10,1000010,279.99998773037674,400,32,299.99998811781364,31,299.9999877303813,32,279.99998773037674,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,11,1000011,329.99998583196856,400,37,359.99998583644566,37,349.9999858334632,37,329.99998583196856,37,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,12,1000012,249.999988876278,400,29,279.9999888852237,29,269.999988879261,29,249.999988876278,29,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,13,1000013,199.99999077469298,400,24,229.9999907776715,24,219.99999077618196,24,199.99999077469298,24,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,14,1000014,279.9999877348472,400,32,299.999988120794,31,299.99998773634184,32,279.9999877348472,32,False,True
pendhrl_c0_seed1_final,../scenarios/variants/corp_100hosts_dynamic__intensity_off.v2.yaml,intensity_off,15,1000015,309.99998658894765,400,35,339.99998659342475,35,329.9999865904423,35,309.99998658894765,35,False,True
